dt,pickup_datetime,dt
2016-03-10,11373,11373
2016-03-11,12549,12549
2016-03-12,13462,13462
2016-03-13,11006,11006
2016-03-14,11085,11085
2016-03-15,10367,10367
2016-03-16,11051,11051
2016-03-17,11658,11658
2016-03-18,12770,12770
2016-03-19,13328,13328
2016-03-20,11630,11630
2016-03-21,9958,9958
2016-03-22,10166,10166
2016-03-23,10619,10619
2016-03-24,11940,11940
2016-03-25,11976,11976
2016-03-26,12599,12599
2016-03-27,10803,10803
2016-03-28,9900,9900
2016-03-29,10317,10317
2016-03-30,10821,10821
2016-03-31,11148,11148
2016-04-01,12668,12668
2016-04-02,13781,13781
2016-04-03,12001,12001
2016-04-04,11511,11511
2016-04-05,11591,11591
2016-04-06,11688,11688
2016-04-07,12376,12376
2016-04-08,13440,13440
2016-04-09,15153,15153
2016-04-10,12062,12062
2016-04-11,10220,10220
2016-04-12,11215,11215
2016-04-13,11123,11123
2016-04-14,12025,12025
2016-04-15,13162,13162
2016-04-16,14418,14418
2016-04-17,12095,12095
2016-04-18,10018,10018
2016-04-19,10580,10580
2016-04-20,11230,11230
2016-04-21,11734,11734
2016-04-22,12267,12267
2016-04-23,12934,12934
2016-04-24,11097,11097
2016-04-25,9447,9447
2016-04-26,10721,10721
2016-04-27,10711,10711
2016-04-28,11719,11719
2016-04-29,13144,13144
2016-04-30,13644,13644
2016-05-01,11837,11837
2016-05-02,10251,10251
2016-05-03,11895,11895
2016-05-04,12126,12126
2016-05-05,13086,13086
2016-05-06,15003,15003
